Year,Round,Pick,Pick,Name,TEAM,Position,School,Seasons Played
2000,1,1,1,Courtney Brown,BROWNS,DE,Penn State,6
2000,1,2,2,LaVar Arrington,TEAM,LB,Penn State,7
2000,1,3,3,Chris Samuels,TEAM, T,Alabama,10
2000,1,4,4,Peter Warrick,BENGALS,WR,Florida State,6
2000,1,5,5,Jamal Lewis,RAVENS,RB,Tennessee,6
2000,1,6,6,Corey Simon,EAGLES,DT,Florida State,8
2000,1,7,7,Thomas Jones,CARDINALS,RB,Virginia,12
2000,1,8,8,Plaxico Burress,STEELERS,WR,Michigan State,12
2000,1,9,9,Brian Urlacher,BEARS,LB,New Mexico,13
2000,1,10,10,Travis Taylor,RAVENS,WR,Florida,8
2000,1,11,11,Ron Dayne,GIANTS,RB,Wisconsin,7
2000,1,12,12,Shaun Ellis,JETS,DE,Tennessee,12
2000,1,13,13,John Abraham,JETS,LB,South Carolina,15
2000,1,14,14,Bubba Franks,PACKERS,TE,Miami (FL),9
2000,1,15,15,Deltha O'Neal,BRONCOS,DB,California,9
2000,1,16,16,Julian Peterson,49ERS,LB,Michigan State,11
2000,1,17,17,Sebastian Janikowski,RAIDERS, K,Florida State,18
2000,1,18,18,Chad Pennington,JETS,QB,Marshall,11
2000,1,19,19,Shaun Alexander,SEAHAWKS,RB,Alabama,9
2000,1,20,20,Stockar McDougle,LIONS, T,Oklahoma,8
2000,1,21,21,Sylvester Morris,CHIEFS,WR,Jackson State,1
2000,1,22,22,Chris McIntosh,SEAHAWKS, T,Wisconsin,3
2000,1,23,23,Rashard Anderson,PANTHERS,DB,Jackson State,2
2000,1,24,24,Ahmed Plummer,49ERS,DB,Ohio State,6
2000,1,25,25,Chris Hovan,VIKINGS,DT,Boston College,12
2000,1,26,26,Erik Flowers,BILLS,DE,Arizona State,5
2000,1,27,27,Anthony Becht,JETS,TE,West Virginia,11
2000,1,28,28,Rob Morris,COLTS,LB,Brigham Young,8
2000,1,29,29,R. Jay Soward,JAGUARS,WR,USC,1
2000,1,30,30,Keith Bulluck,TITANS,LB,Syracuse,11
2000,1,31,31,Trung Canidate,RAMS,RB,Arizona,4
2001,1,1,1,Michael Vick,FALCONS,QB,Virginia Tech,13
2001,1,2,2,Leonard Davis,CARDINALS, T,Texas,12
2001,1,3,3,Gerard Warren,BROWNS,DT,Florida,11
2001,1,4,4,Justin Smith,BENGALS,DE,Missouri,14
2001,1,5,5,LaDainian Tomlinson,CHARGERS,RB,Texas Christian,11
2001,1,6,6,Richard Seymour,PATRIOTS,DT,Georgia,12
2001,1,7,7,Andre Carter,49ERS,DE,California,13
2001,1,8,8,David Terrell,BEARS,WR,Michigan,5
2001,1,9,9,Koren Robinson,SEAHAWKS,WR,North Carolina State,8
2001,1,10,10,Jamal Reynolds,PACKERS,DE,Florida State,3
2001,1,11,11,Dan Morgan,PANTHERS,LB,Miami (FL),7
2001,1,12,12,Damione Lewis,RAMS,DT,Miami (FL),10
2001,1,13,13,Marcus Stroud,JAGUARS,DT,Georgia,10
2001,1,14,14,Kenyatta Walker,BUCCANEERS, T,Florida,6
2001,1,15,15,Rod Gardner,TEAM,WR,Clemson,6
2001,1,16,16,Santana Moss,JETS,WR,Miami (FL),14
2001,1,17,17,Steve Hutchinson,SEAHAWKS, G,Michigan,12
2001,1,18,18,Jeff Backus,LIONS, T,Michigan,12
2001,1,19,19,Casey Hampton,STEELERS,DT,Texas,12
2001,1,20,20,Adam Archuleta,RAMS,DB,Arizona State,7
2001,1,21,21,Nate Clements,BILLS,DB,Ohio State,12
2001,1,22,22,Will Allen,GIANTS,DB,Syracuse,12
2001,1,23,23,Deuce McAllister,SAINTS,RB,Mississippi,8
2001,1,24,24,Willie Middlebrooks,BRONCOS,DB,Minnesota,6
2001,1,25,25,Freddie Mitchell,EAGLES,WR,UCLA,4
2001,1,26,26,Jamar Fletcher,DOLPHINS,DB,Wisconsin,8
2001,1,27,27,Michael Bennett,VIKINGS,RB,Wisconsin,10
2001,1,28,28,Derrick Gibson,RAIDERS,DB,Florida State,2
2001,1,29,29,Ryan Pickett,RAMS,DE,Ohio State,14
2001,1,30,30,Reggie Wayne,COLTS,WR,Miami (FL),14
2001,1,31,31,Todd Heap,RAVENS,TE,Arizona State,12
2002,1,1,1,David Carr,TEXANS,QB,Fresno State,12
